Date,Close,High,Low,Open,Volume,Returns,High_Low,Close_Open,RSI,RSI_SMA,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,BB_Width,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,Volume_SMA,Volume_Ratio,MOM,ROC,ATR,Target
2025-05-20,1418.932861328125,1439.2517336495314,1416.1440727881434,1432.4787356808251,11270560,-0.011243797996968508,0.016285239063220495,-0.009456248121032029,62.393052498592226,68.50865393986051,42.123157060795165,42.7198131796659,-0.5966561188707331,1492.7195733530452,1388.5293579101562,1284.3391424672673,0.150072758417875,1418.6141723632813,1388.5293579101562,1297.0606640625,1411.679552175909,1369.8055132507839,14744100.35,0.764411509176957,3.6851806640625,0.2603912173403611,29.472902400350357,1
2025-05-21,1423.5145263671875,1430.486680037078,1412.458707007589,1418.235682967954,6136364,0.0032289512519809715,0.012664411002180924,0.003722119999255946,63.114789289358995,67.53141913903792,39.9271510379358,42.16128075131988,-2.2341297133840783,1489.2721309729695,1395.401904296875,1301.5316776207806,0.1345422080721532,1420.9249389648437,1395.401904296875,1302.3853955078125,1413.5003174361057,1373.7839586668138,14398333.2,0.4261857198859657,23.107666015625,1.6500680387858235,28.65540744528883,0
2025-05-22,1403.79345703125,1418.1361984129633,1391.3431818014155,1415.5464438973825,12134466,-0.0138537886130784,0.01908615293606635,-0.008302791417972346,57.958691553086354,66.02610026581623,36.17843251416275,40.964711103888455,-4.786278589725704,1482.6057110827692,1400.850146484375,1319.094581885981,0.11672278409445992,1421.1639892578125,1400.850146484375,1307.0427954101563,1412.006954296897,1376.0068844715868,14481012.1,0.8379570375471201,2.3905029296875,0.17057927005870166,28.906545811037624,1
2025-05-23,1421.124267578125,1428.0964217220903,1401.0045498118507,1401.0045498118507,6474883,0.012345698336225563,0.019063689593035754,0.014360922503054206,60.97583992029929,65.76178313198008,34.211627303958494,39.614094343902465,-5.402467039943971,1473.640765277006,1407.0852478027343,1340.5297303284626,0.09460054759042208,1426.1042724609374,1407.0852478027343,1311.3695166015625,1413.4096178786244,1379.3489128498488,14281309.25,0.45338161135331484,49.40283203125,3.6015207425518003,28.77692624669491,1
2025-05-26,1429.0924072265625,1435.2676949623963,1419.430920923106,1426.3034970063507,4842944,0.005606926734152973,0.01108170049690816,0.0019553413604225557,62.31493810495644,64.84513625561075,32.916442027987614,38.2745638807195,-5.358121852731884,1456.7302249589425,1413.778515625,1370.8268062910574,0.06076158161868024,1425.9349609375,1413.778515625,1315.0547973632813,1415.822354701384,1383.0336161370128,13801905.85,0.35088951139309504,-1.693115234375,-0.11833466356738764,27.852629660451722,0
2025-05-27,1416.44287109375,1431.2836233071982,1408.275539274527,1420.4269591196573,12640414,-0.008851447302390625,0.016243566544201497,-0.002804852442660319,58.86179403589947,64.1226693653397,30.517499775216493,36.7231510596189,-6.205651284402407,1452.621019693487,1416.43291015625,1380.2448006190132,0.051097527144077545,1426.5724243164063,1416.43291015625,1318.7141821289063,1415.917818761748,1385.5083757634377,12878701.75,0.9814975333208567,6.3746337890625,0.45207980865149544,27.506590687038823,0
2025-05-28,1407.279541015625,1416.9409060075968,1405.0882196135674,1414.4508509493858,5944611,-0.0064692549661740095,0.008422410792297472,-0.0050700311919267835,56.42263935596408,63.044781969998816,27.55923094102718,34.89036703590055,-7.331136094873372,1452.0923038553622,1417.0902893066407,1382.0882747579192,0.04939983685280549,1425.427001953125,1417.0902893066407,1322.0130078125,1414.5888529546523,1387.1210546710072,11548983.8,0.5147302224114297,-11.4542236328125,-0.8073553980475601,26.388454666109585,1
2025-05-29,1412.1600341796875,1414.3512339364067,1402.996558868143,1406.4826358531975,13771917,0.003468033906426582,0.008040643265237003,0.004036593258789847,57.434358781676856,61.71330665938861,25.316760728570216,32.97564577443448,-7.658885045864267,1451.8725098279722,1417.7277465820312,1383.5829833360901,0.048168293705557905,1421.8014892578126,1417.7277465820312,1325.2152197265625,1414.2151885277347,1388.9757938938724,10963542.4,1.2561557658590348,-36.255126953125,-2.5030894405143944,25.314613266263454,1
2025-05-30,1415.2476806640625,1424.9090454066043,1404.0921613404494,1412.3591925541664,13788484,0.0021864706617111818,0.014709004190974685,0.002045151208788792,58.09717182669497,60.423172450797736,23.517637509831047,31.084044121513795,-7.566406611682748,1451.9076769059288,1417.7825256347655,1383.6573743636022,0.04813876691826892,1418.2656127929688,1417.7825256347655,1328.661455078125,1414.3740334717852,1390.921859580553,11002574.55,1.2532052327698155,-35.3587646484375,-2.437516030808773,24.99334689482713,0
2025-06-02,1408.0762939453125,1411.8612262898896,1390.0483195350275,1406.4826830156508,8098668,-0.005067230857700444,0.015491281863530364,0.0011330469609798978,55.919196068094145,59.34924714346232,21.267984337986036,29.12083216480824,-7.852847826822206,1451.0828109546305,1416.906024169922,1382.7292373852133,0.048241430556032375,1415.5663940429688,1416.906024169922,1332.1445458984374,1413.4051504677125,1392.192558422387,10773225.5,0.7517403214107047,-26.9921875,-1.8808989152082178,25.00806219727055,0
2025-06-03,1399.908935546875,1420.8253977642241,1397.8173136420837,1416.6421539546416,11252626,-0.005800366381819577,0.01643541486014753,-0.011811887964123325,53.461098685274735,58.45605176213057,18.611538199052802,27.018973371657154,-8.407435172604352,1451.1095053788904,1416.1390869140625,1381.1686684492347,0.04938839523317246,1413.6640014648438,1416.1390869140625,1335.4642895507814,1411.3288097106606,1392.7641419130898,10631650.95,1.0584081487362977,-19.02392578125,-1.3407206429375096,24.86520662047554,1
2025-06-04,1417.8372802734375,1420.0284799827916,1400.506473605418,1409.0722382665938,8126827,0.012806793550152351,0.013768862371575303,0.006220434814347244,57.841981345571746,57.928770967751845,17.74836102338577,25.164850902002875,-7.4164898786171065,1451.2300198547443,1417.0106079101563,1382.7911959655682,0.04829803214395934,1413.0962768554687,1417.0106079101563,1338.9772583007812,1412.3301128741648,1394.6214114212637,10365983.85,0.7839899345395951,-5.67724609375,-0.39881897856275383,24.526230750149903,1
