split,accuracy,precision,recall,f1_score,weighted_f1,macro_f1,mean_spikes,std_spikes,mean_spike_rate
train,0.8298130193905817,0.8308917919050273,0.8298130193905817,0.8261363959919323,0.8261363959919323,0.8256901436152522,34092.69921875,5646.443359375,0.2774471342563629
val,0.649584487534626,0.6451147600422015,0.649584487534626,0.6412516423422453,0.6412516423422453,0.6449081630741789,34160.12890625,5557.791015625,0.27799585461616516
test,0.7080491132332879,0.6999092372351626,0.7080491132332879,0.7018870593416427,0.7018870593416427,0.49845796662307074,34628.37109375,5518.89501953125,0.28180640935897827
