,precision,recall,f1-score,support
No DR,0.9097331240188383,0.9897523484201537,0.9480572597137015,1171.0
Mild,0.8121410992616899,0.8631211857018308,0.8368554522400676,1147.0
Moderate,0.8275499474237644,0.6755364806866953,0.7438563327032136,1165.0
Severe,0.7691187181354697,0.9079965606190885,0.832807570977918,1163.0
Prolif.,0.835245046923879,0.7088495575221239,0.7668741024413595,1130.0
accuracy,0.8298130193905817,0.8298130193905817,0.8298130193905817,0.8298130193905817
macro avg,0.8307575871527284,0.8290512265899785,0.8256901436152522,5776.0
weighted avg,0.8308917919050273,0.8298130193905817,0.8261363959919323,5776.0
