train_loss,train_acc,val_loss,val_acc,val_f1
1.7361251013430863,0.41066481994459836,1.5421172152595837,0.3940443213296399,0.345677406380776
1.430863916708822,0.4717797783933518,1.631795183113077,0.4930747922437673,0.43731917319160013
1.2695541900280771,0.5162742382271468,1.640597040303196,0.40304709141274236,0.35524424668489446
1.2724847423733106,0.5242382271468145,1.458692169255497,0.4937673130193906,0.4451075560902296
1.217326652640451,0.5386080332409973,1.3221454379300992,0.49722991689750695,0.4540211977270945
1.1580781418200674,0.5569598337950139,1.2603578696290543,0.5117728531855956,0.4967501829641943
1.1025396136365768,0.5694252077562327,1.1617230639233154,0.5498614958448753,0.5454532420554759
1.1801460487690658,0.5657894736842105,1.2434890184376048,0.5277008310249307,0.5098905368702619
1.0973855257034302,0.5929709141274239,1.696154885675108,0.49584487534626037,0.4360600839109904
1.040915520567643,0.6144390581717452,1.1769744752186486,0.5692520775623269,0.553780048155844
0.9893775303277943,0.6234418282548476,1.1104008596689747,0.600415512465374,0.5816366359088798
0.931885861293761,0.6329639889196675,1.1276913151516479,0.5761772853185596,0.5558177169201224
0.8474922938029852,0.6674168975069252,1.157102634371813,0.5844875346260388,0.5588350210049703
0.8557749258514257,0.6615304709141274,1.3406624186402212,0.53601108033241,0.5056658811890323
0.8066364024814806,0.6810941828254847,1.1550936104518226,0.5775623268698061,0.5606791165124067
0.7885390790875929,0.6887119113573407,1.0848651222905294,0.6052631578947368,0.5826967749038771
0.7482109383532876,0.712084487534626,1.0307004722531812,0.6239612188365651,0.6099045632229289
0.6990853275618725,0.7292243767313019,1.164052072324251,0.5969529085872576,0.5553675380375863
0.6799225399368688,0.737707756232687,1.1850845536366725,0.5817174515235457,0.5452391962620019
0.6383387637930894,0.7551939058171745,1.1327966818188697,0.5962603878116344,0.5708051664922695
0.6132649177494471,0.7643698060941828,1.1178043760421204,0.5858725761772853,0.5570832472335288
0.6001886259816029,0.7770083102493075,1.0235823554675665,0.6385041551246537,0.6275201874888452
0.567535455207085,0.7941481994459834,1.062727991233572,0.6218836565096952,0.6051771067098014
0.5419734772552743,0.8047091412742382,1.1282576847604768,0.5831024930747922,0.5663633685763042
0.5276515728218734,0.8099030470914127,0.9604226611657817,0.649584487534626,0.6412516423422453
0.5084755869783523,0.8242728531855956,1.0073262826227416,0.6371191135734072,0.6211619585849169
0.48644250623076907,0.8372576177285319,0.9619401789107811,0.6481994459833795,0.6368255156748701
0.4951763271955242,0.8334487534626038,0.9797488563278706,0.6426592797783933,0.6302551449344452
0.4738101354926577,0.8443559556786704,0.9760580049657426,0.6385041551246537,0.625286149061327
0.47616484852048496,0.8448753462603878,0.9771983630109031,0.6461218836565097,0.6313159781544282
