method,split,accuracy,precision,recall,f1_score
proto_5shot,train,0.30752688172043013,0.38931796388795187,0.30752688172043013,0.32061035029478224
proto_5shot,val,0.4016393442622951,0.5763975839955925,0.4016393442622951,0.4451107527237686
proto_5shot,test,0.3651226158038147,0.5479418408486384,0.3651226158038147,0.40219041827119073
proto_full,train,0.5455197132616487,0.6435464620407705,0.5455197132616487,0.5478146254914185
proto_full,val,0.6475409836065574,0.6417929891809327,0.6475409836065574,0.6200923078645436
proto_full,test,0.6049046321525886,0.5839471609226378,0.6049046321525886,0.5825325241691595
balanced_svc,train,0.9985663082437276,0.9985688684075781,0.9985663082437276,0.9985663059414441
balanced_svc,val,0.6967213114754098,0.6914047613791978,0.6967213114754098,0.6934669957636338
balanced_svc,test,0.6512261580381471,0.6321582888307785,0.6512261580381471,0.6406246443555123
