,precision,recall,f1-score,support
0,1.0,1.0,1.0,279.0
1,1.0,0.996415770609319,0.9982046678635548,279.0
2,0.996415770609319,0.996415770609319,0.996415770609319,279.0
3,1.0,1.0,1.0,279.0
4,0.9964285714285714,1.0,0.998211091234347,279.0
accuracy,0.9985663082437276,0.9985663082437276,0.9985663082437276,0.9985663082437276
macro avg,0.9985688684075781,0.9985663082437275,0.9985663059414442,1395.0
weighted avg,0.9985688684075781,0.9985663082437276,0.9985663059414441,1395.0
