,precision,recall,f1-score,support
0,0.8431372549019608,0.46236559139784944,0.5972222222222222,279.0
1,0.29153605015673983,0.3333333333333333,0.3110367892976589,279.0
2,0.17733990147783252,0.3870967741935484,0.24324324324324326,279.0
3,0.328125,0.15053763440860216,0.20638820638820637,279.0
4,0.3064516129032258,0.20430107526881722,0.24516129032258063,279.0
accuracy,0.30752688172043013,0.30752688172043013,0.30752688172043013,0.30752688172043013
macro avg,0.38931796388795176,0.3075268817204301,0.32061035029478224,1395.0
weighted avg,0.38931796388795187,0.30752688172043013,0.32061035029478224,1395.0
