,precision,recall,f1-score,support
0,0.8423076923076923,0.7849462365591398,0.8126159554730983,279.0
1,0.7734375,0.3548387096774194,0.4864864864864865,279.0
2,0.35496957403651114,0.6272401433691757,0.4533678756476684,279.0
3,0.44,0.6308243727598566,0.5184094256259205,279.0
4,0.8070175438596491,0.32974910394265233,0.4681933842239186,279.0
accuracy,0.5455197132616487,0.5455197132616487,0.5455197132616487,0.5455197132616487
macro avg,0.6435464620407705,0.5455197132616487,0.5478146254914186,1395.0
weighted avg,0.6435464620407705,0.5455197132616487,0.5478146254914185,1395.0
