,precision,recall,f1-score,support
0,0.9358333333333333,0.9722943722943723,0.9537154989384289,1155.0
1,0.6134969325153374,0.4219409282700422,0.5,237.0
2,0.5784615384615385,0.8826291079812206,0.6988847583643123,639.0
3,0.8,0.032520325203252036,0.0625,123.0
4,0.0,0.0,0.0,189.0
accuracy,0.764404609475032,0.764404609475032,0.764404609475032,0.764404609475032
macro avg,0.5855583608620419,0.46187694674977753,0.4430200514605483,2343.0
weighted avg,0.7231426359722826,0.764404609475032,0.7146036115530009,2343.0
