epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,1.149820339639015,56.8075117370892,0.4433560617963207,0.568075117370892,0.4905577792010006,1.0839249014366534,55.7980900409277,0.4111738701791191,0.557980900409277,0.4597091932479365,0.001
2,0.9368416578709646,67.22151088348271,0.6064759242549234,0.6722151088348272,0.5941604894561073,0.915427874412901,69.30422919508868,0.6303966521885483,0.6930422919508867,0.6229631530037724,0.001
3,0.8791324986487538,69.78233034571063,0.6019978504111825,0.6978233034571063,0.6308046981067749,1.0678000575360953,62.48294679399727,0.5910480168252007,0.6248294679399727,0.5708789622515824,0.001
4,0.8598597330564726,70.25181391378574,0.6049649562169405,0.7025181391378574,0.6248709252248199,1.0455908804603358,65.21145975443383,0.5909829143117,0.6521145975443383,0.5975661575478154,0.001
5,0.8528171943463274,70.72129748186086,0.6075583404271604,0.7072129748186087,0.6307294664596627,0.9127072992380124,69.30422919508868,0.5862503463280496,0.6930422919508867,0.6294598012940928,0.001
6,0.8261046793361123,71.36150234741784,0.6254079777442839,0.7136150234741784,0.6437321393846909,1.3520744647042975,51.29604365620737,0.5762780090973826,0.5129604365620737,0.48118224612519994,0.001
7,0.8134082782309228,71.74562526675203,0.6258331759744696,0.7174562526675202,0.6485244368090024,0.8214686891066589,69.30422919508868,0.6347185343752662,0.6930422919508867,0.6252029620965172,0.001
8,0.8175836103215871,72.08706786171575,0.6355216573180494,0.7208706786171575,0.6502952205550071,0.9209395625093624,68.21282401091405,0.5883179448450595,0.6821282401091405,0.6060653212296742,0.001
9,0.8110939567027009,71.87366623986343,0.630042960733054,0.7187366623986342,0.6532481993779571,0.954569690874784,67.80354706684857,0.5851093748843589,0.6780354706684857,0.61058740203232,0.001
10,0.8122217153770213,71.95902688860436,0.6419078477960655,0.7195902688860435,0.6515864164353589,0.8494854111625911,69.84993178717599,0.5947204074097033,0.6984993178717599,0.6322519852394264,0.001
11,0.8039453759236159,72.04438753734529,0.6318150775380806,0.7204438753734529,0.656175234154622,1.6699618232851952,41.06412005457026,0.5107097066881159,0.4106412005457026,0.35649386873627553,0.0005
12,0.785560310650116,72.42851045667948,0.6335661647143452,0.7242851045667947,0.6549889253163609,0.8718978330838566,69.57708049113234,0.637762232417557,0.6957708049113234,0.6354354406137341,0.0005
13,0.7806060054187229,72.72727272727273,0.6437342915472836,0.7272727272727273,0.6610131684320522,0.77588570004108,73.12414733969986,0.6542415905436552,0.7312414733969986,0.6812786567117485,0.0005
14,0.7785827604258004,72.72727272727273,0.6394293414115981,0.7272727272727273,0.6580847733539994,0.7667264245541977,72.44201909959072,0.631309926778795,0.7244201909959073,0.6613015842391339,0.0005
15,0.7750356422750756,72.7699530516432,0.640357972545781,0.7276995305164319,0.664844369948226,0.7595895197023962,72.57844474761255,0.6288112147775834,0.7257844474761255,0.6629742394550246,0.0005
16,0.7740745743878926,73.75160051216389,0.6533521294689666,0.737516005121639,0.6790552695966764,0.8104563701038959,72.03274215552524,0.6605135197424516,0.7203274215552524,0.6753083266443705,0.0005
17,0.7669665346632032,73.28211694408877,0.6429133696978603,0.7328211694408877,0.6690875365049822,0.749747161325296,71.3506139154161,0.6107206924522735,0.713506139154161,0.6440846237762833,0.0005
18,0.7708408252530459,73.06871532223644,0.6485639221480431,0.7306871532223644,0.6675060629719805,0.7335619401151129,72.71487039563438,0.6517499295809159,0.7271487039563438,0.6635733342869452,0.0005
19,0.7657953568416633,72.98335467349551,0.6379142360783837,0.7298335467349552,0.6693248112084531,0.7799085407920618,72.57844474761255,0.6265131220130153,0.7257844474761255,0.663878780575943,0.0005
20,0.7698441996210109,72.6419120785318,0.6398245260462417,0.726419120785318,0.6631174414865708,0.7596817517508263,72.71487039563438,0.6327101131646478,0.7271487039563438,0.661965670650223,0.0005
21,0.75780097052067,73.32479726845924,0.6495321856224398,0.7332479726845924,0.6728782024420343,0.7617172715120719,72.16916780354707,0.6347731320065284,0.7216916780354706,0.6594000113871578,0.0005
22,0.7480574352360667,73.58087921468203,0.6457544213402654,0.7358087921468203,0.6734914759118158,0.765215711248848,72.71487039563438,0.6474285430787988,0.7271487039563438,0.6684813024879775,0.00025
23,0.7564955587525476,72.7699530516432,0.6417043679888009,0.7276995305164319,0.6656958969589684,0.7264526355477993,73.12414733969986,0.6580522720248879,0.7312414733969986,0.6671661939117296,0.00025
24,0.7456267516021794,73.66623986342296,0.7038225289292569,0.7366623986342297,0.6760495686739227,0.7505117022161757,73.12414733969986,0.6539440060896956,0.7312414733969986,0.6792947412235117,0.00025
25,0.7425635935046253,73.06871532223644,0.6415955745713094,0.7306871532223644,0.6712400700117779,0.7250301109329578,73.12414733969986,0.6387893736991839,0.7312414733969986,0.6736016952413652,0.00025
26,0.7480332936886483,73.41015791720017,0.6469501275093661,0.7341015791720017,0.6719348684991887,0.7291053070052746,72.57844474761255,0.635749895383727,0.7257844474761255,0.6653821358785538,0.00025
27,0.7374076203205012,73.41015791720017,0.6995994017733148,0.7341015791720017,0.6711195236342793,0.7149706047846546,72.8512960436562,0.6464009702787862,0.7285129604365621,0.6689278560355986,0.00025
28,0.7448510505732847,73.3674775928297,0.7006985644564651,0.7336747759282971,0.6733777853413755,0.7180492118468551,73.26057298772169,0.6580379021440044,0.732605729877217,0.675284438569302,0.00025
29,0.7305873642352418,73.92232180964575,0.6533461432049147,0.7392232180964575,0.6799015414191261,0.7286923188629775,72.44201909959072,0.6428475031277168,0.7244201909959073,0.6518373621793521,0.00025
30,0.7294191017244496,74.00768245838668,0.6550047133458439,0.7400768245838668,0.680053243642101,0.7179684965867463,72.57844474761255,0.6956626583417715,0.7257844474761255,0.6635948532718816,0.00025
31,0.7302796189544856,73.75160051216389,0.6715796260754837,0.737516005121639,0.6814640310766061,0.7463187875396395,72.57844474761255,0.6670393338388494,0.7257844474761255,0.6632054931577742,0.000125
32,0.7107576187024298,74.26376440460947,0.6605590940604915,0.7426376440460948,0.6821891729857978,0.7051865225111479,73.39699863574351,0.6509303969490643,0.7339699863574352,0.6831571045231498,0.000125
33,0.7109949214052452,74.13572343149808,0.671097579155786,0.7413572343149808,0.684550570939817,0.7036985954190992,72.71487039563438,0.660183852030489,0.7271487039563438,0.6589414364324686,0.000125
34,0.7119543730347675,74.4771660264618,0.6614952783149564,0.744771660264618,0.6878323434229344,0.7003785872687096,74.21555252387449,0.6791989481105853,0.7421555252387448,0.6815883090057661,0.000125
35,0.711115077983809,74.3491250533504,0.7166372365204514,0.7434912505335041,0.6828524032104061,0.7000809860749915,73.26057298772169,0.7026289534845036,0.732605729877217,0.6746629703889546,0.000125
36,0.7019321494157428,74.86128894579599,0.7168330798276538,0.7486128894579599,0.6935442263623446,0.6971405085892827,73.53342428376534,0.6711039100464121,0.7353342428376535,0.6692221179572616,0.000125
37,0.708310663458429,73.92232180964575,0.6720562083232621,0.7392232180964575,0.681416933052737,0.6927194621358042,74.07912687585267,0.7190968549465091,0.7407912687585266,0.6843490160415903,0.000125
38,0.6981354708911718,74.86128894579599,0.7172086303834988,0.7486128894579599,0.6926428748608929,0.6939402978059215,73.53342428376534,0.6601411725438325,0.7353342428376535,0.680119184371055,0.000125
39,0.6976036495802191,74.77592829705506,0.6901977437017621,0.7477592829705506,0.6929077192257957,0.693469904942532,72.8512960436562,0.6598049458346338,0.7285129604365621,0.6642693903228538,0.000125
40,0.7023919105936817,74.86128894579599,0.702296586063596,0.7486128894579599,0.6940888033363027,0.690937322126079,73.80627557980901,0.6579986960279889,0.73806275579809,0.6801268042631713,0.000125
41,0.6996467768306464,74.56252667520273,0.691527154369077,0.7456252667520273,0.6868848596701271,0.7084018214825556,73.94270122783084,0.6481727026832583,0.7394270122783083,0.6837950975520519,0.000125
42,0.6955556231485286,74.64788732394366,0.695981889178243,0.7464788732394366,0.6902139880263714,0.7091693082089964,74.35197817189632,0.7021978305009002,0.7435197817189632,0.6910332107820986,0.000125
43,0.6918071748937646,74.94664959453692,0.7215071588045844,0.7494664959453692,0.6937917563486978,0.7069227659686038,73.12414733969986,0.660220439631715,0.7312414733969986,0.6783281596639391,0.000125
44,0.693031995331076,75.16005121638925,0.702335910322544,0.7516005121638925,0.6982649194328844,0.6908084177710675,74.62482946793997,0.7219471077206072,0.7462482946793997,0.6845982144041629,0.000125
45,0.6822079924299734,74.90396927016646,0.7193349026515604,0.7490396927016645,0.69411365436594,0.6984173966950317,73.94270122783084,0.6641203232157585,0.7394270122783083,0.6843696629691365,0.000125
46,0.6862548306819674,75.33077251387111,0.7228890246931307,0.753307725138711,0.6971966695027542,0.6811196974810279,73.80627557980901,0.7022279158239608,0.73806275579809,0.6727135380944135,0.000125
47,0.6793120085328144,75.11737089201878,0.6695306525867911,0.7511737089201878,0.6960431914238234,0.6826218132432779,74.21555252387449,0.6938772551944395,0.7421555252387448,0.6876261828719713,0.000125
48,0.6719446093212882,75.03201024327785,0.7038969240908673,0.7503201024327785,0.6947150548044099,0.6746123521747563,74.89768076398363,0.7025107847048855,0.7489768076398363,0.7000109325765989,0.000125
49,0.6705163949786522,75.4588134869825,0.698400736685783,0.754588134869825,0.7008131818814411,0.6787987690505357,74.62482946793997,0.7079568095796596,0.7462482946793997,0.6959544472349706,0.000125
50,0.6737540772441509,75.20273154075971,0.6985543770037447,0.7520273154075972,0.6958383502325068,0.6670052901133997,75.44338335607094,0.700736400648643,0.7544338335607094,0.7087930214897388,0.000125
