split,accuracy,precision,recall,f1_score,mean_spikes,std_spikes,mean_spike_rate
train,0.4522184300341297,0.39077241747385,0.4522184300341297,0.4008641060867428,2.187713384628296,2.608515501022339,0.01750170812010765
val,0.39617486338797814,0.3274018252578553,0.39617486338797814,0.35349268488249064,1.3961749076843262,2.040273666381836,0.011169400066137314
test,0.37329700272479566,0.32569234142098935,0.37329700272479566,0.34450919092063,1.4904632568359375,2.1747350692749023,0.011923707090318203
