epoch,train_loss,val_acc
1,1.6058006603970056,0.27049180327868855
2,1.6698331979354495,0.4672131147540984
3,1.5337722468294788,0.3087431693989071
4,1.5350105139989494,0.31693989071038253
5,1.5868802440858132,0.3087431693989071
6,1.5273842103652173,0.32786885245901637
7,1.4532181935912514,0.3879781420765027
8,1.4497988525104197,0.3743169398907104
9,1.3899058201207235,0.2786885245901639
10,1.3986214871292635,0.3633879781420765
11,1.3445671365529603,0.45901639344262296
12,1.3695396660944708,0.2896174863387978
13,1.3616122711233718,0.3224043715846995
14,1.2995649588392864,0.43169398907103823
15,1.3377091408589594,0.4371584699453552
16,1.2744841994685931,0.29508196721311475
17,1.400468829141949,0.4180327868852459
18,1.4719509569858122,0.4344262295081967
19,1.3601377270734352,0.4262295081967213
20,1.3166406730336133,0.39617486338797814
