,precision,recall,f1-score,support
0,0.3522267206477733,0.7073170731707317,0.4702702702702703,123.0
1,0.58,0.4461538461538462,0.5043478260869565,130.0
2,0.0,0.0,0.0,110.0
3,0.5142857142857142,0.7142857142857143,0.5980066445182725,126.0
4,0.46875,0.30927835051546393,0.37267080745341613,97.0
accuracy,0.4522184300341297,0.4522184300341297,0.4522184300341297,0.4522184300341297
macro avg,0.38305248698669747,0.43540699682515116,0.3890591096657831,586.0
weighted avg,0.39077241747385,0.4522184300341297,0.4008641060867428,586.0
